contractid,planid,fips,plan_type,partd,avg_enrollment,avg_eligibles,avg_enrolled,premium,premium_partc,premium_partd,rebate_partc,ma_rate,bid,avg_ffscost,partc_score
R2604,1,13165,Regional PPO,Yes,32.75,1797.6666666666667,1103.3333333333333,49,0,49,76.61999999999999,1079.93,801.6811594202899,11536.508265158978,4
R2604,1,13167,Regional PPO,Yes,17,1912.8333333333333,1110.0833333333333,49,0,49,76.61999999999999,1058.48,801.6811594202899,9917.005387765155,4
R2604,1,13169,Regional PPO,Yes,50.833333333333336,5971.25,3216.9166666666665,49,0,49,76.61999999999999,1040.39,801.6811594202899,10140.156898597252,4
R2604,1,13171,Regional PPO,Yes,93,4200.75,2390.5,49,0,49,76.61999999999999,1128.41,801.6811594202899,9916.928544434157,4
R2604,1,13173,Regional PPO,Yes,47.166666666666664,1685.5833333333333,785.1666666666666,49,0,49,76.61999999999999,1051.71,801.6811594202899,10457.364971346706,4
R2604,1,13175,Regional PPO,Yes,76.75,10993.75,5549.583333333333,49,0,49,76.61999999999999,1038.05,801.6811594202899,9958.235755670712,4
R2604,1,13177,Regional PPO,Yes,70.5,5369.75,2549.8333333333335,49,0,49,76.61999999999999,1036.62,801.6811594202899,9883.671618449753,4
R2604,1,13179,Regional PPO,Yes,115.83333333333331,8375.666666666666,3736.25,49,0,49,76.61999999999999,1072.5,801.6811594202899,7727.435238888156,4
R2604,1,13181,Regional PPO,Yes,40.666666666666664,2266.25,1186.4166666666667,49,0,49,76.61999999999999,1034.65,801.6811594202899,9439.91531582267,4
R2604,1,13183,Regional PPO,Yes,29.666666666666668,2003.6666666666667,898.6666666666666,49,0,49,76.61999999999999,1076.41,801.6811594202899,8370.783457977208,4
R2604,1,13185,Regional PPO,Yes,1266,19713.5,7815.25,49,0,49,76.61999999999999,1041.92,801.6811594202899,9538.611872474869,4
R2604,1,13187,Regional PPO,Yes,92.41666666666669,7142,3191.4166666666665,49,0,49,76.61999999999999,1052.61,801.6811594202899,9976.373410548002,4
R2604,1,13189,Regional PPO,Yes,58.916666666666664,5001.416666666667,3069.5,49,0,49,76.61999999999999,1065.5,801.6811594202899,10242.251027266962,4
R2604,1,13191,Regional PPO,Yes,26.333333333333332,3396.5,1834.75,49,0,49,76.61999999999999,1090.51,801.6811594202899,11040.926838398897,4
R2604,1,13193,Regional PPO,Yes,40.666666666666664,2398.8333333333335,1557.3333333333333,49,0,49,76.61999999999999,1064.42,801.6811594202899,9739.685580755684,4
R2604,1,13195,Regional PPO,Yes,49,6778.5,3508.5833333333335,49,0,49,76.61999999999999,1038.35,801.6811594202899,9401.090807132889,4
R2604,1,13197,Regional PPO,Yes,13.166666666666666,1685.8333333333333,950.5,49,0,49,76.61999999999999,923.9,801.6811594202899,9254.68676673568,4
R2604,1,13199,Regional PPO,Yes,97.58333333333331,5501.166666666667,3388.3333333333335,49,0,49,76.61999999999999,1137.4,801.6811594202899,10237.172011268776,4
R2604,1,13201,Regional PPO,Yes,32.333333333333336,1325.0833333333333,663.75,49,0,49,76.61999999999999,1066.47,801.6811594202899,16155.602149871294,4
R2604,1,13205,Regional PPO,Yes,135.5,4608.25,2703.9166666666665,49,0,49,76.61999999999999,1041.25,801.6811594202899,10520.433756517796,4
R2604,1,13207,Regional PPO,Yes,108.58333333333331,6459.333333333333,3301.5,49,0,49,76.61999999999999,1065.08,801.6811594202899,8651.319100897024,4
R2604,1,13209,Regional PPO,Yes,21.25,1783.4166666666667,987.75,49,0,49,76.61999999999999,1073.32,801.6811594202899,9557.499498404011,4
R2604,1,13211,Regional PPO,Yes,52,4901.583333333333,2525.9166666666665,49,0,49,76.61999999999999,1034.26,801.6811594202899,9965.778863859912,4
R2604,1,13213,Regional PPO,Yes,116.41666666666669,7727.25,3245.4166666666665,49,0,49,76.61999999999999,1039.5,801.6811594202899,10944.693636737487,4
R2604,1,13215,Regional PPO,Yes,96.5,36576.333333333336,17608.75,49,0,49,76.61999999999999,1038.43,801.6811594202899,9772.862135279924,4
R2604,1,13217,Regional PPO,Yes,108.33333333333331,19877.75,11732.666666666666,49,0,49,76.61999999999999,1072.37,801.6811594202899,10731.070827765456,4
R2604,1,13219,Regional PPO,Yes,32.333333333333336,7894.083333333333,3071.3333333333335,49,0,49,76.61999999999999,1058.1699999999998,801.6811594202899,9873.43188214512,4
R2604,1,13221,Regional PPO,Yes,48.75,3486.5,1800.8333333333333,49,0,49,76.61999999999999,1037.76,801.6811594202899,11601.409193284197,4
R2604,1,13223,Regional PPO,Yes,109.58333333333331,24155.75,12269.5,49,0,49,76.61999999999999,1075.44,801.6811594202899,10764.342578651922,4
R2604,1,13225,Regional PPO,Yes,34.75,5697.916666666667,2719.25,49,0,49,76.61999999999999,1048.55,801.6811594202899,9792.002038009769,4
R2604,1,13227,Regional PPO,Yes,101.16666666666669,9919.666666666666,4386.833333333333,49,0,49,76.61999999999999,1074.3,801.6811594202899,10240.106172807662,4
R2604,1,13229,Regional PPO,Yes,122.5,4249.916666666667,1965.5833333333333,49,0,49,76.61999999999999,1038.84,801.6811594202899,11528.06742729198,4
R2604,1,13231,Regional PPO,Yes,92.83333333333331,3747.1666666666665,1953.4166666666667,49,0,49,76.61999999999999,1077.89,801.6811594202899,9554.409712742052,4
R2604,1,13233,Regional PPO,Yes,116.83333333333331,8938.75,4797.833333333333,49,0,49,76.61999999999999,1041.74,801.6811594202899,11116.773926044953,4
R2604,1,13235,Regional PPO,Yes,25.5,2136.8333333333335,1000,49,0,49,76.61999999999999,1034.74,801.6811594202899,9782.924210862791,4
R2604,1,13237,Regional PPO,Yes,91.66666666666669,6253.833333333333,3093.0833333333335,49,0,49,76.61999999999999,1076.25,801.6811594202899,10327.508851038692,4
R2604,1,13239,Regional PPO,Yes,13.75,741.6666666666666,437.8333333333333,49,0,49,76.61999999999999,1037.4,801.6811594202899,9743.673350041772,4
R2604,1,13241,Regional PPO,Yes,99,5461.083333333333,2238.0833333333335,49,0,49,76.61999999999999,1060.1,801.6811594202899,8788.056266454232,4
R2604,1,13243,Regional PPO,Yes,20.166666666666668,1655.0833333333333,963.4166666666666,49,0,49,76.61999999999999,997.08,801.6811594202899,9787.399560098787,4
R2604,1,13245,Regional PPO,Yes,125.66666666666669,38329.333333333336,20676.416666666668,49,0,49,76.61999999999999,1076.85,801.6811594202899,9544.121648841712,4
R2604,1,13247,Regional PPO,Yes,90.33333333333331,16571.166666666668,9786.583333333334,49,0,49,76.61999999999999,1102.97,801.6811594202899,10126.460641024276,4
R2604,1,13249,Regional PPO,Yes,16.75,835.8333333333334,527.6666666666666,49,0,49,76.61999999999999,1040.07,801.6811594202899,10019.88510638298,4
